Location,Lat,Long,22/1/20,23/1/20,24/1/20,25/1/20,26/1/20,27/1/20,28/1/20,29/1/20,30/1/20,31/1/20,1/2/20,2/2/20,3/2/20,4/2/20,5/2/20,6/2/20,7/2/20,8/2/20,9/2/20,10/2/20,11/2/20,12/2/20,13/2/20,14/2/20,15/2/20,16/2/20,17/2/20,18/2/20,19/2/20,20/2/20,21/2/20,22/2/20,23/2/20,24/2/20,25/2/20,26/2/20,27/2/20,28/2/20,29/2/20,1/3/20,2/3/20,3/3/20,4/3/20,5/3/20,6/3/20,7/3/20,8/3/20,9/3/20,10/3/20,11/3/20,12/3/20,13/3/20,14/3/20,15/3/20,16/3/20,17/3/20,18/3/20,19/3/20,20/3/20,21/3/20,22/3/20,23/3/20,24/3/20,25/3/20,26/3/20,27/3/20,28/3/20,29/3/20,30/3/20,31/3/20,1/4/20,2/4/20,3/4/20,4/4/20,5/4/20,6/4/20,7/4/20,8/4/20,9/4/20,10/4/20,11/4/20,12/4/20,13/4/20,14/4/20,15/4/20,16/4/20,17/4/20,18/4/20,19/4/20,20/4/20,21/4/20,22/4/20,23/4/20,24/4/20,25/4/20,26/4/20,27/4/20,28/4/20,29/4/20,30/4/20,1/5/20,2/5/20,3/5/20,4/5/20,5/5/20,6/5/20,7/5/20,8/5/20,9/5/20,10/5/20,11/5/20,12/5/20,13/5/20,14/5/20,15/5/20,16/5/20,17/5/20,18/5/20,19/5/20,20/5/20,21/5/20,22/5/20,23/5/20,24/5/20,25/5/20,26/5/20,27/5/20,28/5/20,29/5/20,30/5/20,31/5/20,1/6/20,2/6/20,3/6/20,4/6/20,5/6/20,6/6/20,7/6/20,8/6/20,9/6/20,10/6/20,11/6/20,12/6/20,13/6/20,14/6/20,15/6/20,16/6/20,17/6/20,18/6/20,19/6/20,20/6/20,21/6/20,22/6/20,23/6/20,24/6/20,25/6/20,26/6/20,27/6/20,28/6/20,29/6/20,30/6/20,1/7/20,2/7/20,3/7/20,4/7/20,5/7/20,6/7/20,7/7/20,8/7/20,9/7/20,10/7/20,11/7/20,12/7/20,13/7/20,14/7/20,15/7/20,16/7/20,17/7/20,18/7/20,19/7/20,20/7/20,21/7/20,22/7/20,23/7/20,24/7/20,25/7/20,26/7/20,27/7/20,28/7/20,29/7/20,30/7/20,31/7/20,1/8/20,2/8/20,3/8/20,4/8/20,5/8/20,6/8/20,7/8/20,8/8/20,9/8/20,10/8/20,11/8/20,12/8/20,13/8/20,14/8/20,15/8/20,16/8/20,17/8/20,18/8/20,19/8/20,20/8/20,21/8/20,22/8/20,23/8/20,24/8/20,25/8/20,26/8/20,27/8/20,28/8/20,29/8/20,30/8/20,31/8/20,1/9/20,2/9/20,3/9/20,4/9/20,5/9/20,6/9/20,7/9/20,8/9/20,9/9/20,10/9/20,11/9/20,12/9/20,13/9/20,14/9/20,15/9/20,16/9/20,17/9/20,18/9/20,19/9/20,20/9/20,21/9/20,22/9/20,23/9/20,24/9/20,25/9/20,26/9/20,27/9/20,28/9/20,29/9/20,30/9/20,1/10/20,2/10/20,3/10/20,4/10/20,5/10/20,6/10/20,7/10/20,8/10/20,9/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20
Florida,28.94075487910448,-82.70074390925375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,5,7,9,9,13,13,17,17,23,29,35,46,54,59,85,85,144,163,194,221,235,254,309,354,390,438,461,499,524,596,668,725,748,774,822,867,893,987,1046,1055,1075,1088,1171,1218,1268,1314,1364,1379,1399,1471,1539,1600,1669,1715,1721,1735,1779,1827,1875,1917,1964,1973,1997,2052,2096,2144,2190,2233,2237,2252,2259,2319,2364,2413,2447,2451,2460,2530,2566,2607,2660,2688,2700,2712,2765,2801,2848,2877,2925,2931,2938,2993,3018,3061,3104,3144,3161,3173,3238,3281,3327,3366,3390,3419,3447,3505,3550,3617,3684,3702,3731,3778,3841,3889,4009,4102,4197,4242,4277,4409,4521,4677,4805,4895,4982,5072,5206,5345,5518,5653,5777,5854,5931,6117,6333,6586,6843,7022,7084,7157,7402,7627,7747,7927,8109,8186,8277,8553,8765,8913,9141,9345,9452,9539,9758,9932,10049,10168,10274,10325,10397,10580,10733,10868,10957,11105,11119,11187,11374,11501,11650,11750,11811,11849,11871,11915,12110,12326,12502,12600,12608,12642,12787,12939,13086,13225,13287,13296,13317,13416,13618,13795,13915,14022,14032,14037,14143,14317,14444,14554,14628,14671,14712,14767,14904,15068,15186,15186,15364,15412,15531,15595
Georgia,32.80853214484278,-83.57742992610066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,10,14,15,15,15,16,16,22,67,78,86,110,137,162,180,197,206,224,322,356,371,411,425,429,464,518,545,587,643,666,680,766,791,839,871,889,896,907,980,1021,1085,1118,1155,1163,1170,1225,1278,1309,1336,1378,1381,1382,1418,1473,1494,1522,1563,1573,1585,1624,1650,1671,1747,1779,1794,1799,1820,1867,1904,1942,1956,1973,2018,2059,2070,2092,2118,2141,2145,2146,2174,2249,2291,2335,2383,2409,2413,2452,2490,2534,2564,2594,2601,2602,2606,2652,2656,2702,2725,2731,2733,2737,2756,2777,2799,2807,2807,2810,2827,2848,2869,2878,2914,2944,2951,2970,2994,3027,3043,3070,3100,3105,3108,3179,3256,3285,3363,3413,3418,3429,3481,3560,3589,3668,3738,3752,3754,3829,3889,3933,4020,4086,4099,4129,4243,4352,4432,4467,4561,4595,4619,4683,4736,4790,4883,4978,5017,5041,5143,5190,5271,5348,5447,5474,5502,5600,5661,5732,5794,5839,5896,5903,5928,5984,6059,6100,6141,6188,6208,6252,6272,6324,6386,6445,6448,6450,6519,6614,6660,6710,6752,6783,6797,6830,6854,6896,6939,6966,6993,7021,7055,7083,7121,7174,7218,7242,7255,7278,7294
Guam,13.4443,144.7937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,9,9,10,10,10,10,13,13,13,14,14,14,14,19,20,21,23,23,23,26,28,28,30,31,31,31,35,37,37,38,39,39,39,39,47,49,49,49,49,49,54,55,57,57,58,58,58,60,61,61
Hawaii,21.028283006000002,-157.32323648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,4,5,5,5,5,5,8,9,9,9,9,9,9,9,10,10,10,12,12,13,13,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,21,21,21,21,22,23,23,23,23,24,25,25,25,25,25,25,25,25,25,25,25,25,26,26,28,30,30,30,33,33,37,39,39,39,39,39,40,41,44,45,46,46,48,48,50,54,58,61,62,69,73,74,78,80,83,84,85,87,90,93,95,96,98,98,99,102,106,119,119,119,119,119,121,123,126,130,131,131,133,135,138,141,152,155,156,159,162,163,165,167,168,168,172,182
Idaho,44.2634012584091,-114.46012491818179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,6,8,9,9,9,10,10,10,13,15,18,24,25,27,27,33,39,41,41,43,44,45,48,51,54,54,56,56,56,60,60,60,63,64,64,64,65,66,67,67,67,67,70,69,69,72,72,73,73,74,74,77,77,79,79,79,79,79,81,82,82,82,82,82,83,83,83,83,83,83,83,85,85,85,87,87,87,87,88,88,89,89,89,89,89,89,89,90,90,91,91,91,92,92,92,93,93,93,94,94,98,100,101,102,102,102,103,110,114,118,119,119,122,126,135,138,144,146,146,152,160,173,177,188,197,197,200,210,217,223,229,235,237,239,246,246,251,265,269,269,273,282,289,296,305,306,307,314,326,337,343,353,358,359,361,367,372,372,372,372,372,372,372,404,407,412,415,415,419,423,429,434,438,441,443,447,451,454,457,458,460,460,460,464,469,472,474,480,482,487,492,500,503,506,507,507,510,512,516
Illinois,39.84361770127451,-89.17833006960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,6,12,12,19,26,34,47,66,73,99,141,163,209,243,274,306,379,461,527,596,677,719,797,867,948,1071,1131,1256,1287,1346,1466,1564,1688,1794,1874,1933,1983,2125,2215,2354,2455,2558,2618,2659,2834,2970,3108,3239,3346,3404,3457,3599,3790,3925,4056,4128,4176,4233,4378,4524,4606,4714,4789,4855,4884,4922,5082,5185,5269,5329,5389,5411,5524,5620,5735,5794,5863,5903,5923,6017,6094,6184,6259,6288,6307,6325,6397,6485,6537,6580,6625,6647,6671,6707,6770,6810,6847,6873,6888,6902,6923,6951,6987,7005,7014,7020,7026,7063,7099,7118,7144,7168,7187,7193,7218,7226,7251,7272,7290,7295,7301,7324,7347,7367,7385,7396,7398,7416,7446,7462,7478,7495,7503,7517,7526,7545,7573,7594,7613,7631,7636,7637,7657,7672,7696,7721,7726,7744,7756,7783,7806,7833,7857,7874,7880,7888,7917,7954,7977,7997,8008,8019,8026,8064,8091,8115,8143,8166,8171,8179,8186,8214,8242,8273,8295,8309,8314,8332,8367,8392,8411,8436,8450,8457,8486,8508,8538,8563,8588,8601,8614,8637,8672,8696,8743,8774,8791,8805,8836,8878,8910,8945,8975,8984,8997,9026,9074
Indiana,39.83735316565217,-86.21856844913039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,6,7,12,14,17,25,31,32,35,49,65,78,102,116,127,131,173,203,245,300,330,343,350,387,436,476,522,545,562,577,635,666,706,741,786,813,844,901,964,1007,1062,1229,1246,1264,1326,1264,1295,1328,1362,1379,1411,1444,1482,1508,1550,1596,1607,1621,1678,1716,1764,1791,1812,1824,1832,1850,1871,1907,1946,1958,1967,1976,2022,2032,2052,2078,2110,2121,2135,2158,2173,2198,2214,2231,2240,2251,2265,2289,2304,2327,2346,2350,2363,2377,2386,2394,2403,2424,2427,2432,2448,2456,2469,2488,2494,2500,2505,2524,2539,2546,2555,2563,2567,2569,2582,2592,2602,2610,2627,2629,2632,2652,2666,2683,2687,2698,2706,2709,2725,2733,2746,2765,2771,2775,2780,2794,2805,2811,2821,2834,2835,2838,2863,2878,2898,2906,2921,2924,2926,2954,2968,2979,2992,3001,3003,3008,3023,3041,3047,3058,3066,3072,3077,3093,3106,3110,3127,3138,3140,3144,3156,3173,3186,3196,3213,3214,3215,3235,3247,3253,3270,3278,3281,3287,3295,3305,3322,3340,3351,3354,3365,3385,3405,3418,3429,3442,3447,3454,3484,3500,3515,3534,3555,3562,3568,3595,3609
Iowa,42.02991002353537,-93.46551942343434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,6,6,8,10,10,11,18,25,24,26,26,28,28,35,38,43,53,60,64,74,75,79,83,90,96,107,112,118,127,136,148,162,170,175,184,188,207,219,231,243,252,265,271,289,306,318,336,346,351,355,367,393,410,424,446,456,456,477,496,506,524,531,535,555,561,574,583,593,599,605,617,626,631,640,644,650,652,658,665,675,680,681,681,686,686,689,690,696,704,704,706,711,716,717,719,721,721,721,723,732,736,741,743,748,752,755,757,777,781,785,789,793,798,806,814,820,826,826,829,836,839,854,865,872,874,878,884,888,900,912,915,927,931,934,946,953,960,970,975,975,987,1002,1010,1016,1029,1033,1037,1047,1059,1071,1091,1108,1100,1113,1120,1125,1133,1136,1158,1164,1167,1170,1185,1204,1207,1216,1218,1220,1224,1234,1248,1250,1264,1265,1265,1284,1293,1298,1303,1312,1314,1316,1324,1341,1358,1366,1377,1381,1387,1398,1413,1419,1433,1454,1459,1462,1481,1491,1505
Kansas,38.485378896857135,-98.08455153209523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,7,8,9,10,12,18,18,18,20,29,34,34,34,44,52,57,67,71,80,82,85,93,102,109,112,113,118,120,121,126,127,134,134,140,142,144,156,161,164,165,168,174,174,180,184,188,189,193,195,195,198,199,202,204,205,205,205,207,210,213,214,215,215,215,217,222,226,227,232,233,233,236,237,240,243,243,245,245,246,246,247,251,253,256,257,257,259,259,261,264,267,268,272,272,276,279,281,282,283,284,288,288,292,292,294,296,297,298,303,304,305,307,308,311,315,320,321,329,328,330,332,339,348,356,357,357,360,366,367,371,377,378,379,379,385,392,396,402,403,405,405,406,411,415,419,426,426,426,429,430,442,444,445,449,449,451,456,461,471,478,480,481,483,484,499,503,516,526,528,542,557,578,582,594,594,595,601,614,620,621,635,635,635,644,651,669,672,688,690,690,698,701,713,747,771,773,774,787,799,817
Kentucky,37.62214385000001,-85.19989061799998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,5,5,7,9,9,9,9,15,17,31,34,45,45,60,60,68,69,69,69,85,106,106,129,136,138,140,154,171,185,191,200,205,208,213,225,234,239,245,248,253,261,275,283,294,298,304,304,311,321,321,328,332,334,334,346,366,376,386,391,391,391,391,394,400,409,418,431,431,439,442,450,458,466,470,470,472,477,484,493,497,499,499,505,505,518,520,522,524,526,526,537,538,546,553,554,558,560,565,572,581,585,585,585,593,602,608,612,620,622,625,629,635,645,650,658,667,670,671,674,677,684,691,696,700,709,719,724,731,735,740,742,744,751,752,760,764,772,773,775,783,790,796,804,810,810,818,830,842,856,864,872,872,884,895,902,910,918,921,929,933,948,966,976,987,993,996,996,997,1013,1035,1044,1057,1060,1065,1074,1082,1093,1101,1108,1111,1112,1119,1124,1137,1149,1154,1157,1162,1170,1174,1191,1197,1205,1209,1214,1218,1223,1234,1242,1249,1252,1255,1269,1276
Louisiana,31.092427383437492,-91.82418665609377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,10,14,20,20,35,45,64,82,118,136,151,185,235,273,309,366,409,473,509,580,650,700,753,803,837,884,1013,1102,1155,1212,1266,1295,1327,1403,1472,1540,1601,1644,1670,1697,1758,1802,1862,1927,1950,1969,1991,2042,2093,2134,2153,2193,2212,2240,2280,2315,2351,2382,2413,2425,2440,2458,2485,2506,2506,2506,2568,2586,2597,2618,2636,2662,2681,2686,2690,2724,2759,2772,2801,2814,2825,2831,2844,2855,2874,2883,2891,2901,2906,2930,2950,2950,2972,2992,2993,3004,3021,3039,3051,3077,3077,3086,3091,3113,3130,3147,3170,3170,3180,3188,3211,3231,3247,3272,3295,3308,3315,3337,3351,3375,3399,3399,3433,3462,3498,3558,3574,3603,3603,3651,3674,3700,3769,3811,3835,3835,3893,3910,3937,3978,4028,4089,4089,4145,4169,4195,4238,4279,4307,4307,4384,4403,4431,4468,4496,4546,4546,4605,4623,4656,4688,4711,4741,4741,4768,4787,4821,4841,4858,4872,4872,4930,4942,4955,4970,4991,5032,5032,5065,5082,5108,5126,5143,5172,5172,5198,5207,5218,5225,5241,5262,5262,5283,5298,5308,5321,5329,5355,5355,5387,5396,5402,5411,5416,5442,5442,5462,5476,5486,5495
Maine,44.68768840625,-69.523768628125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,7,7,7,7,7,12,14,16,17,19,19,19,20,24,27,29,32,34,35,36,39,44,47,47,50,51,51,52,53,55,56,57,57,61,62,62,63,64,64,65,65,66,69,69,70,70,71,73,73,73,75,77,78,78,79,81,84,85,89,89,89,94,95,95,98,98,99,99,100,100,100,100,100,100,101,101,102,102,102,102,102,102,102,103,103,103,104,104,105,105,105,105,105,107,109,109,110,110,111,111,112,114,114,114,114,114,115,117,117,117,118,118,118,118,119,119,119,121,121,122,123,123,123,124,123,124,124,124,125,125,125,126,126,126,126,127,127,127,127,127,128,129,130,131,131,131,132,132,132,132,132,132,132,133,133,134,134,134,134,134,134,134,134,135,136,136,137,138,138,138,139,139,140,140,140,140,140,140,140,140,141,141,141,141,142,142,142,142,142,142,143,143,143,143,143,143
Maryland,39.014920690416666,-76.67546760874998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,4,4,4,9,14,18,19,36,43,54,67,91,103,124,138,171,206,236,262,302,311,319,334,421,461,490,532,590,642,687,751,765,858,910,991,1057,1080,1166,1212,1240,1303,1359,1408,1461,1513,1553,1577,1647,1717,1771,1820,1868,1911,1937,1993,2049,2094,2142,2185,2212,2245,2275,2325,2359,2411,2454,2482,2506,2542,2588,2628,2661,2704,2721,2732,2771,2801,2827,2860,2887,2907,2919,2937,2965,2990,3005,3027,3038,3052,3067,3084,3100,3116,3134,3142,3151,3161,3180,3186,3200,3213,3217,3228,3239,3256,3267,3283,3292,3303,3309,3315,3328,3334,3339,3356,3361,3370,3386,3393,3400,3407,3418,3424,3432,3443,3452,3472,3480,3490,3501,3504,3513,3526,3535,3546,3559,3567,3573,3585,3598,3608,3617,3624,3631,3632,3638,3648,3655,3665,3672,3679,3684,3691,3704,3714,3719,3734,3744,3747,3750,3756,3766,3776,3787,3792,3795,3799,3802,3813,3818,3825,3830,3831,3834,3843,3852,3859,3865,3870,3873,3882,3892,3897,3907,3914,3918,3927,3932,3939,3943,3945,3945,3950,3952,3957,3964,3971,3978,3979,3992,3994,4001,4009
Massachusetts,42.066276593999994,-71.41846876066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,6,16,26,35,39,47,80,113,145,183,207,222,250,345,420,420,420,673,744,744,744,1094,1094,1229,1385,1686,1686,1953,1953,1953,1953,2717,2758,2995,3148,3400,3557,3710,3842,3997,4083,4205,4417,4549,4699,4837,4974,5103,5137,5311,5479,5590,5702,5794,5859,5935,6063,6145,6225,6301,6368,6412,6469,6542,6634,6712,6762,6839,7021,7073,7140,7191,7228,7281,7308,7345,7398,7444,7482,7528,7566,7614,7637,7656,7725,7760,7790,7818,7848,7864,7882,7930,7957,8006,8034,8053,8088,8047,8074,8125,8142,8165,8176,8191,8206,8236,8261,8289,8303,8318,8323,8333,8361,8373,8396,8413,8425,8427,8444,8462,8478,8492,8504,8523,8530,8545,8574,8574,8603,8620,8632,8642,8651,8653,8685,8703,8715,8729,8735,8745,8745,8745,8745,8745,8745,8745,8745,8745,8883,8896,8916,8916,8944,8956,8982,9003,9019,9031,9044,9055,9059,9055,9072,9095,9111,9120,9128,9136,9141,9161,9175,9191,9205,9214,9220,9240,9255,9264,9290,9305,9312,9323,9342,9357,9368,9386,9399,9410,9418,9451,9475,9485,9502,9505,9525,9533,9552,9560,9572,9582,9599,9612,9625,9642
Michigan,44.04362008975902,-85.18169553542172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,6,12,18,31,51,71,107,130,157,213,292,369,452,516,583,673,791,913,1033,1158,1368,1479,1579,1711,1884,2037,2117,2354,2438,2528,2612,2720,2961,3129,3237,3306,3470,3558,3724,3827,3946,4024,4179,4214,4297,4340,4414,4503,4561,4704,4728,4754,4844,4884,4959,4998,5054,5064,5088,5187,5233,5302,5331,5394,5398,5411,5438,5506,5543,5576,5631,5658,5685,5721,5739,5765,5837,5844,5855,5870,5879,5880,5910,5915,5940,5943,5945,5961,5963,5988,5994,6014,6017,6024,6036,6041,6060,6061,6080,6084,6088,6120,6125,6139,6142,6145,6145,6148,6178,6189,6198,6212,6240,6241,6248,6253,6257,6275,6282,6291,6293,6300,6309,6315,6322,6327,6327,6327,6332,6348,6349,6369,6376,6383,6383,6393,6397,6403,6431,6448,6444,6443,6450,6457,6463,6479,6490,6510,6516,6516,6532,6543,6560,6560,6581,6584,6588,6609,6615,6631,6637,6637,6672,6677,6691,6705,6716,6723,6731,6731,6735,6736,6811,6816,6822,6834,6834,6843,6854,6865,6877,6874,6889,6889,6901,6917,6932,6939,6947,6964,6964,6971,6992,7003,7022,7029,7043,7043,7058,7080,7087,7111,7118,7137,7137,7143,7173,7186
Minnesota,45.55201297954022,-94.43095302689653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,5,9,9,9,10,11,19,26,30,34,39,50,57,63,70,70,79,87,87,111,121,134,143,160,179,200,221,244,272,286,301,319,343,370,394,418,427,454,485,508,534,558,578,591,614,638,663,683,700,722,731,748,777,809,842,852,869,881,899,932,967,996,1026,1040,1050,1072,1086,1115,1148,1170,1186,1197,1217,1236,1249,1274,1283,1298,1304,1313,1325,1343,1362,1373,1381,1385,1393,1397,1406,1411,1417,1425,1435,1441,1445,1458,1466,1466,1471,1474,1477,1485,1490,1495,1499,1502,1504,1510,1518,1526,1533,1538,1541,1545,1548,1552,1561,1566,1571,1574,1576,1580,1589,1594,1600,1606,1614,1616,1620,1629,1636,1640,1648,1657,1660,1666,1678,1685,1693,1699,1706,1712,1721,1739,1745,1753,1761,1767,1771,1779,1794,1806,1810,1814,1816,1817,1822,1830,1837,1847,1851,1857,1860,1862,1869,1884,1897,1906,1919,1922,1927,1933,1942,1950,1963,1965,1969,1979,1985,1988,1994,2004,2008,2015,2020,2036,2049,2059,2073,2080,2083,2087,2101,2107,2121,2131,2141,2144,2151,2174
Mississippi,32.792726566585365,-89.64572580048781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,8,13,14,14,20,22,26,29,35,43,51,60,67,76,82,93,96,98,111,122,129,140,152,159,169,183,193,201,209,221,227,229,239,250,261,281,291,303,310,342,374,396,409,421,430,435,457,465,480,493,510,521,527,554,570,580,595,616,625,635,652,670,693,710,723,734,739,767,782,794,803,811,817,837,847,868,868,881,889,891,895,915,938,938,938,938,938,978,989,1011,1016,1022,1035,1039,1059,1073,1082,1092,1103,1107,1111,1114,1158,1188,1204,1215,1230,1249,1250,1272,1290,1308,1332,1346,1355,1358,1389,1423,1436,1463,1478,1493,1498,1540,1563,1611,1663,1693,1703,1711,1753,1804,1825,1848,1874,1896,1912,1944,1989,2011,2043,2080,2084,2095,2127,2163,2190,2214,2237,2240,2248,2315,2373,2399,2413,2427,2441,2473,2493,2526,2536,2558,2569,2584,2585,2585,2623,2656,2670,2685,2697,2706,2734,2756,2780,2792,2809,2810,2810,2846,2870,2874,2894,2911,2919,2921,2957,2969,2979,2999,3011,3013,3013,3027,3051,3074,3080,3096,3101,3101,3115,3140
Missouri,38.456764881637945,-92.4994868846552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,8,9,9,9,13,16,16,19,24,32,45,51,64,71,91,104,122,133,145,156,167,185,202,216,229,236,242,263,281,301,317,343,357,374,395,409,424,443,457,472,484,495,524,539,562,583,594,605,622,632,653,665,680,691,698,714,729,740,749,758,765,768,773,780,776,789,794,812,814,815,825,831,833,840,848,850,854,862,865,865,881,887,889,891,895,914,949,963,973,975,980,988,998,1000,1009,1014,1014,1016,1019,1033,1044,1047,1050,1051,1051,1067,1069,1073,1084,1091,1092,1105,1114,1119,1121,1125,1136,1136,1138,1148,1159,1189,1195,1200,1209,1221,1232,1239,1255,1265,1276,1276,1279,1290,1297,1302,1324,1327,1334,1341,1346,1354,1356,1365,1378,1383,1415,1425,1434,1442,1445,1451,1453,1453,1470,1481,1488,1500,1528,1533,1547,1562,1578,1586,1607,1668,1685,1687,1690,1702,1713,1720,1728,1731,1738,1756,1765,1782,1810,1825,1826,1838,1867,1938,1951,1991,2054,2053,2057,2066,2069,2074,2146,2177,2186,2188,2209,2238,2268,2397,2424,2424,2424,2424,2544
